application_id,candidate_id,department,job_title,job_level,source_channel,region,education_level,gender,recruiter,application_date,years_experience,passed_screening,assessment_score,interview_rounds,offer_extended,offer_accepted,hired,final_stage,rejection_reason,time_to_hire_days,cost_per_applicant
APP-101304,CAND-833943,Sales,Account Executive,Mid,Company Website,EMEA,Bachelor's,Male,C. Adjei,2024-09-20,4.0,True,84.6,3,True,False,False,Offer,Offer Declined,,398.21
APP-100111,CAND-872852,Data & Analytics,Analytics Engineer,Mid,Employee Referral,North America,Bachelor's,Non-binary,F. Antwi,2024-09-10,4.0,True,88.0,1,True,True,True,Hired,,43.0,1578.2
APP-100654,CAND-502789,Customer Success,Customer Success Manager,Senior,LinkedIn,North America,Diploma,Female,E. Sarpong,2025-01-11,9.8,True,54.1,0,False,False,False,Screened,Failed Assessment,,1957.35
APP-100292,CAND-786108,Sales,Sales Manager,Junior,Recruitment Agency,Unknown,Master's,Female,B. Owusu,2025-01-10,2.1,True,61.9,3,True,True,True,Hired,,62.0,5898.88
APP-101402,CAND-1010260,Marketing,Content Strategist,Junior,Employee Referral,APAC,Bachelor's,Female,E. Sarpong,2024-08-18,1.3,True,73.9,3,True,False,False,Offer,Offer Declined,,1370.4
APP-100742,CAND-889804,Engineering,Engineering Manager,Mid,University/Campus,North America,PhD,Female,B. Owusu,2024-03-11,3.7,True,57.5,0,False,False,False,Screened,Failed Assessment,,2238.17
APP-100937,CAND-491346,Customer Success,Customer Success Manager,Junior,Job Board,North America,Bachelor's,Non-binary,B. Owusu,2024-05-13,1.7,False,,0,False,False,False,Applied,Rejected at Screening,,1820.46
APP-100711,CAND-1057016,Customer Success,Customer Success Manager,Senior,Job Board,North America,High School,Non-binary,D. Boateng,2024-09-22,10.7,True,40.8,0,False,False,False,Screened,Failed Assessment,,1092.94
APP-101505,CAND-875152,Engineering,Senior Software Engineer,Mid,Job Board,North America,Bachelor's,Male,F. Antwi,2025-03-08,5.4,False,,0,False,False,False,Applied,Rejected at Screening,,2496.07
APP-100158,CAND-649390,Engineering,QA Engineer,Senior,University/Campus,EMEA,Master's,Male,E. Sarpong,2025-10-27,12.3,True,57.9,0,False,False,False,Screened,Failed Assessment,,2304.79
APP-101317,CAND-949845,Sales,Sales Development Rep,Senior,Employee Referral,North America,Master's,Male,C. Adjei,2025-10-16,6.8,True,53.7,0,False,False,False,Screened,Failed Assessment,,1019.98
APP-101353,CAND-454627,Finance,Accountant,Mid,LinkedIn,EMEA,Bachelor's,Male,D. Boateng,2024-07-05,7.8,False,,0,False,False,False,Applied,Rejected at Screening,,4417.85
APP-101593,CAND-586051,Marketing,Marketing Manager,Mid,Recruitment Agency,EMEA,Bachelor's,Male,E. Sarpong,2025-04-01,4.1,True,83.6,1,True,True,True,Hired,,28.0,9498.85
APP-100972,CAND-936769,People & Culture,Recruiter,Senior,LinkedIn,North America,Master's,Female,A. Mensah,2024-01-16,11.2,True,59.9,0,False,False,False,Screened,Failed Assessment,,2484.18
APP-101618,CAND-655008,Sales,Sales Development Rep,Mid,Job Board,North America,Bachelor's,Male,A. Mensah,2024-11-24,4.8,True,33.4,0,False,False,False,Screened,Failed Assessment,,2217.05
APP-101008,CAND-351816,Engineering,Engineering Manager,Senior,LinkedIn,North America,Bachelor's,Male,D. Boateng,2024-04-04,8.3,True,51.3,0,False,False,False,Screened,Failed Assessment,,6979.34
APP-100217,CAND-477875,People & Culture,HR Business Partner,Mid,Job Board,North America,Bachelor's,Male,A. Mensah,2024-11-01,4.2,False,,0,False,False,False,Applied,Rejected at Screening,,2021.44
APP-101716,CAND-410304,People & Culture,Recruiter,Mid,Job Board,EMEA,Bachelor's,Female,F. Antwi,2025-07-22,2.1,False,,0,False,False,False,Applied,Rejected at Screening,,2560.08
APP-101794,CAND-1156638,Data & Analytics,Analytics Engineer,Mid,Company Website,EMEA,Master's,Male,D. Boateng,2024-02-13,2.1,True,61.1,0,False,False,False,Assessment,Rejected at Assessment,,561.81
APP-100594,CAND-208823,Data & Analytics,Data Analyst,Mid,LinkedIn,North America,PhD,Male,C. Adjei,2025-05-19,7.8,False,,0,False,False,False,Applied,Rejected at Screening,,3100.54
APP-101442,CAND-227117,Engineering,Engineering Manager,Junior,University/Campus,North America,Bachelor's,Undisclosed,A. Mensah,2024-08-26,2.8,False,,0,False,False,False,Applied,Rejected at Screening,,1894.69
APP-101453,CAND-891141,People & Culture,People Ops Specialist,Mid,LinkedIn,North America,Master's,Female,C. Adjei,2025-03-25,5.7,True,66.4,3,False,False,False,Interview,Rejected at Interview,,2266.48
APP-101493,CAND-1114592,Finance,Accountant,Senior,University/Campus,EMEA,Bachelor's,Male,D. Boateng,2025-10-18,10.4,False,,0,False,False,False,Applied,Rejected at Screening,,1798.95
APP-100207,CAND-514258,Customer Success,Customer Success Manager,Lead,Employee Referral,APAC,Master's,Female,F. Antwi,2024-05-26,9.5,True,69.2,3,True,True,True,Hired,,63.0,1069.58
APP-100908,CAND-562491,Finance,FP&A Manager,Mid,Recruitment Agency,EMEA,Bachelor's,Female,D. Boateng,2025-05-21,5.1,False,,0,False,False,False,Applied,Rejected at Screening,,7337.07
APP-100032,CAND-320230,Marketing,Marketing Manager,Junior,Employee Referral,North America,Bachelor's,Male,F. Antwi,2024-06-08,0.0,False,,0,False,False,False,Applied,Rejected at Screening,,880.23
APP-101294,CAND-1057399,Sales,Sales Development Rep,Mid,Job Board,North America,Bachelor's,Female,A. Mensah,2025-05-24,7.9,False,,0,False,False,False,Applied,Rejected at Screening,,1813.85
APP-101670,CAND-216800,Engineering,DevOps Engineer,Mid,LinkedIn,North America,Bachelor's,Male,C. Adjei,2024-06-24,5.4,True,83.2,1,True,False,False,Offer,Offer Declined,,2274.72
APP-101303,CAND-980150,Engineering,QA Engineer,Senior,LinkedIn,EMEA,Bachelor's,Female,A. Mensah,2024-06-28,11.0,True,76.8,0,False,False,False,Assessment,Rejected at Assessment,,1282.23
APP-101051,CAND-549779,Data & Analytics,Analytics Engineer,Mid,Job Board,North America,Master's,Female,A. Mensah,2024-09-18,6.7,True,78.1,3,False,False,False,Interview,Rejected at Interview,,2738.7
APP-101482,CAND-237585,Engineering,Engineering Manager,Junior,Job Board,APAC,Diploma,Male,D. Boateng,2024-08-23,0.9,False,,0,False,False,False,Applied,Rejected at Screening,,5680.31
APP-100456,CAND-885448,Sales,Solutions Consultant,Mid,University/Campus,North America,Bachelor's,Female,C. Adjei,2025-06-09,0.0,True,76.5,2,True,True,True,Hired,,41.0,1844.53
APP-100880,CAND-374680,Sales,Account Executive,Mid,Job Board,EMEA,Master's,Male,B. Owusu,2025-02-03,5.1,False,,0,False,False,False,Applied,Rejected at Screening,,2109.69
APP-100191,CAND-748808,Engineering,DevOps Engineer,Junior,Company Website,North America,PhD,Female,D. Boateng,2024-08-02,0.0,True,70.0,0,False,False,False,Assessment,Rejected at Assessment,,568.46
APP-101215,CAND-1148262,Engineering,Senior Software Engineer,Senior,LinkedIn,APAC,Bachelor's,Male,F. Antwi,2024-10-29,12.0,True,66.6,0,False,False,False,Assessment,Rejected at Assessment,,2473.95
APP-101052,CAND-1185680,Engineering,Software Engineer,Senior,LinkedIn,North America,Bachelor's,Male,A. Mensah,2024-10-02,8.4,False,,0,False,False,False,Applied,Rejected at Screening,,6298.82
APP-101367,CAND-597936,Engineering,QA Engineer,Lead,Company Website,EMEA,PhD,Female,C. Adjei,2025-01-19,12.3,False,,0,False,False,False,Applied,Rejected at Screening,,637.5
APP-101291,CAND-644123,Marketing,Growth Marketer,Mid,Employee Referral,North America,Bachelor's,Male,B. Owusu,2024-01-18,5.0,True,78.3,0,False,False,False,Assessment,Rejected at Assessment,,1046.19
APP-101701,CAND-506394,Engineering,DevOps Engineer,Senior,LinkedIn,EMEA,Master's,Male,B. Owusu,2024-05-12,8.0,False,,0,False,False,False,Applied,Rejected at Screening,,5113.57
APP-101449,CAND-915364,Engineering,Senior Software Engineer,Junior,Job Board,EMEA,Bachelor's,Female,C. Adjei,2024-07-03,1.4,True,73.6,2,False,False,False,Interview,Rejected at Interview,,1596.2
APP-101243,CAND-635141,Customer Success,Customer Success Manager,Mid,LinkedIn,EMEA,Diploma,Male,D. Boateng,2025-08-03,9.3,True,52.6,0,False,False,False,Screened,Failed Assessment,,3102.39
APP-101310,CAND-678965,People & Culture,Recruiter,Senior,Company Website,North America,Bachelor's,Female,C. Adjei,2025-09-25,8.6,False,,0,False,False,False,Applied,Rejected at Screening,,574.53
APP-101535,CAND-774829,Customer Success,Customer Success Manager,Mid,Job Board,North America,Master's,Male,F. Antwi,2024-04-26,1.4,False,,0,False,False,False,Applied,Rejected at Screening,,1553.63
APP-101625,CAND-1149739,Engineering,Senior Software Engineer,Mid,Job Board,LATAM,Bachelor's,Male,E. Sarpong,2024-12-24,2.2,True,64.9,2,True,True,True,Hired,,47.0,6148.21
APP-100951,CAND-1049050,Marketing,Growth Marketer,Junior,Job Board,North America,Master's,Male,B. Owusu,2024-02-11,3.2,False,,0,False,False,False,Applied,Rejected at Screening,,2692.02
APP-100285,CAND-670181,Marketing,Marketing Manager,Mid,Employee Referral,EMEA,Bachelor's,Female,A. Mensah,2024-08-07,2.8,True,89.7,2,True,True,True,Hired,,55.0,881.03
APP-101056,CAND-760929,Marketing,Content Strategist,Mid,Recruitment Agency,North America,Bachelor's,Female,F. Antwi,2024-03-21,3.0,False,,0,False,False,False,Applied,Rejected at Screening,,5802.97
APP-100757,CAND-905811,Finance,FP&A Manager,Mid,LinkedIn,North America,Diploma,Male,A. Mensah,2024-11-10,5.6,True,58.3,0,False,False,False,Screened,Failed Assessment,,4004.67
APP-100883,CAND-410537,Engineering,DevOps Engineer,Senior,LinkedIn,EMEA,Bachelor's,Male,A. Mensah,2025-04-27,9.9,True,61.8,1,True,True,True,Hired,,45.0,3841.92
APP-100174,CAND-584683,Engineering,QA Engineer,Mid,Company Website,APAC,PhD,Female,D. Boateng,2024-09-19,4.1,True,74.9,0,False,False,False,Assessment,Rejected at Assessment,,256.88
APP-100419,CAND-584702,Marketing,Marketing Manager,Senior,Job Board,APAC,Bachelor's,Male,B. Owusu,2024-12-11,9.3,False,,0,False,False,False,Applied,Rejected at Screening,,2118.95
APP-100579,CAND-848218,Customer Success,Onboarding Specialist,Junior,LinkedIn,North America,Bachelor's,Female,A. Mensah,2024-01-25,2.6,False,,0,False,False,False,Applied,Rejected at Screening,,2457.73
APP-100168,CAND-568343,Marketing,Content Strategist,Lead,Job Board,APAC,Diploma,Female,A. Mensah,2025-09-20,13.2,True,48.3,0,False,False,False,Screened,Failed Assessment,,2183.19
APP-100986,CAND-932342,Finance,Accountant,Senior,Job Board,EMEA,Master's,Male,E. Sarpong,2025-05-10,12.5,True,58.3,0,False,False,False,Screened,Failed Assessment,,1818.01
APP-101492,CAND-268768,Engineering,QA Engineer,Mid,Company Website,EMEA,Bachelor's,Female,E. Sarpong,2024-02-07,3.3,True,55.7,0,False,False,False,Screened,Failed Assessment,,602.79
APP-100107,CAND-561961,Data & Analytics,Data Analyst,Mid,LinkedIn,North America,PhD,Female,E. Sarpong,2025-08-04,6.6,False,,0,False,False,False,Applied,Rejected at Screening,,4325.83
APP-100791,CAND-525949,Customer Success,Support Specialist,Junior,Company Website,North America,Bachelor's,Female,F. Antwi,2024-04-23,0.0,False,,0,False,False,False,Applied,Rejected at Screening,,496.09
APP-101268,CAND-229992,Sales,Account Executive,Mid,LinkedIn,EMEA,Master's,Male,B. Owusu,2025-09-09,0.2,False,,0,False,False,False,Applied,Rejected at Screening,,3939.85
APP-100862,CAND-399963,Finance,FP&A Manager,Junior,Company Website,EMEA,Bachelor's,Male,B. Owusu,2024-05-01,2.1,False,,0,False,False,False,Applied,Rejected at Screening,,617.66
APP-101405,CAND-970756,Engineering,Software Engineer,Junior,Recruitment Agency,EMEA,Master's,Male,C. Adjei,2025-07-06,0.0,True,80.7,2,False,False,False,Interview,Rejected at Interview,,7547.06
APP-101065,CAND-1154667,Sales,Sales Manager,Junior,University/Campus,EMEA,Bachelor's,Non-binary,F. Antwi,2024-05-24,0.0,True,43.6,0,False,False,False,Screened,Failed Assessment,,2111.92
APP-101585,CAND-973166,Engineering,QA Engineer,Senior,LinkedIn,LATAM,Diploma,Female,A. Mensah,2025-08-03,3.0,True,55.1,0,False,False,False,Screened,Failed Assessment,,3657.92
APP-100464,CAND-534505,Engineering,QA Engineer,Junior,Recruitment Agency,EMEA,Bachelor's,Undisclosed,C. Adjei,2024-06-29,1.2,False,,0,False,False,False,Applied,Rejected at Screening,,10208.77
APP-101515,CAND-1100282,Engineering,QA Engineer,Junior,Employee Referral,LATAM,Master's,Male,F. Antwi,2025-04-04,3.1,True,73.1,1,False,False,False,Interview,Rejected at Interview,,1468.7
APP-100713,CAND-619411,Marketing,Content Strategist,Junior,University/Campus,Unknown,Diploma,Female,C. Adjei,2025-07-28,0.0,True,52.6,0,False,False,False,Screened,Failed Assessment,,1311.42
APP-100847,CAND-1154721,Finance,Accountant,Mid,Employee Referral,EMEA,Bachelor's,Male,D. Boateng,2024-02-21,1.7,False,,0,False,False,False,Applied,Rejected at Screening,,1127.46
APP-101488,CAND-679354,Engineering,QA Engineer,Junior,Employee Referral,EMEA,Bachelor's,Female,D. Boateng,2024-01-05,2.0,True,84.6,3,True,False,False,Offer,Offer Declined,,451.57
APP-101607,CAND-796053,Sales,Sales Development Rep,Senior,LinkedIn,LATAM,Bachelor's,Female,C. Adjei,2024-11-11,9.4,True,82.2,3,False,False,False,Interview,Rejected at Interview,,1066.83
APP-101431,CAND-980362,Customer Success,Customer Success Manager,Mid,Company Website,North America,Master's,Male,E. Sarpong,2024-06-25,3.4,True,55.7,0,False,False,False,Screened,Failed Assessment,,367.1
APP-100756,CAND-917475,People & Culture,Recruiter,Senior,University/Campus,North America,Bachelor's,Female,E. Sarpong,2024-10-11,9.2,False,,0,False,False,False,Applied,Rejected at Screening,,2346.84
APP-101354,CAND-879746,Engineering,Engineering Manager,Mid,LinkedIn,EMEA,Master's,Male,A. Mensah,2024-09-02,1.9,False,,0,False,False,False,Applied,Rejected at Screening,,3490.06
APP-101577,CAND-576642,People & Culture,HR Business Partner,Senior,Company Website,EMEA,Master's,Female,D. Boateng,2024-09-17,12.2,True,87.9,1,True,False,False,Offer,Offer Declined,,535.73
APP-101395,CAND-529095,Customer Success,Customer Success Manager,Senior,Employee Referral,EMEA,Master's,Female,A. Mensah,2025-08-27,7.9,False,,0,False,False,False,Applied,Rejected at Screening,,941.48
APP-101785,CAND-850184,Data & Analytics,Analytics Engineer,Junior,Recruitment Agency,North America,Diploma,Non-binary,D. Boateng,2025-01-15,0.0,False,,0,False,False,False,Applied,Rejected at Screening,,11351.79
APP-100307,CAND-879259,Finance,Accountant,Mid,Employee Referral,North America,Bachelor's,Female,C. Adjei,2024-02-10,3.3,True,85.5,1,True,True,True,Hired,,40.0,1337.78
APP-101537,CAND-1188525,Sales,Sales Development Rep,Junior,University/Campus,LATAM,Master's,Female,B. Owusu,2025-04-18,1.4,True,36.2,0,False,False,False,Screened,Failed Assessment,,1232.46
APP-100635,CAND-257399,Sales,Sales Manager,Mid,Company Website,North America,Bachelor's,Undisclosed,B. Owusu,2024-05-26,2.1,True,55.4,0,False,False,False,Screened,Failed Assessment,,653.82
APP-100615,CAND-624049,Engineering,Engineering Manager,Senior,LinkedIn,North America,Bachelor's,Male,B. Owusu,2024-05-17,7.8,True,47.9,0,False,False,False,Screened,Failed Assessment,,3217.57
APP-100978,CAND-1191786,Engineering,QA Engineer,Mid,LinkedIn,Unknown,Diploma,Female,A. Mensah,2025-10-10,4.1,False,,0,False,False,False,Applied,Rejected at Screening,,5460.34
APP-100063,CAND-596166,Engineering,Software Engineer,Junior,Recruitment Agency,North America,Bachelor's,Male,D. Boateng,2024-12-17,2.3,True,72.3,0,False,False,False,Assessment,Rejected at Assessment,,8104.39
APP-101731,CAND-709293,Engineering,QA Engineer,Senior,LinkedIn,LATAM,Bachelor's,Male,C. Adjei,2024-09-09,5.1,False,,0,False,False,False,Applied,Rejected at Screening,,4119.74
APP-101459,CAND-231726,Engineering,DevOps Engineer,Mid,Job Board,North America,Bachelor's,Male,B. Owusu,2024-11-06,5.6,False,,0,False,False,False,Applied,Rejected at Screening,,2414.44
APP-100356,CAND-914551,Sales,Sales Manager,Mid,Company Website,EMEA,Bachelor's,Non-binary,D. Boateng,2024-10-13,4.3,True,77.4,2,True,True,True,Hired,,49.0,507.55
APP-100006,CAND-1159691,Finance,Financial Analyst,Junior,Employee Referral,EMEA,Bachelor's,Female,B. Owusu,2025-08-26,2.6,True,73.1,2,False,False,False,Interview,Rejected at Interview,,567.55
APP-101363,CAND-684866,Finance,FP&A Manager,Junior,LinkedIn,North America,Bachelor's,Male,D. Boateng,2024-03-16,1.2,False,,0,False,False,False,Applied,Rejected at Screening,,2885.25
APP-100016,CAND-862863,Customer Success,Onboarding Specialist,Junior,University/Campus,North America,Bachelor's,Male,A. Mensah,2024-12-06,4.4,False,,0,False,False,False,Applied,Rejected at Screening,,1235.98
APP-100167,CAND-905271,Engineering,Senior Software Engineer,Mid,LinkedIn,North America,Master's,Female,C. Adjei,2024-11-16,5.6,False,,0,False,False,False,Applied,Rejected at Screening,,7254.45
APP-101276,CAND-919877,People & Culture,HR Business Partner,Lead,Employee Referral,APAC,Diploma,Male,D. Boateng,2025-03-30,7.6,True,65.1,0,False,False,False,Assessment,Rejected at Assessment,,601.27
APP-100509,CAND-369036,Customer Success,Support Specialist,Senior,Recruitment Agency,North America,Bachelor's,Female,E. Sarpong,2025-02-02,8.5,True,60.2,1,True,False,False,Offer,Offer Declined,,4231.98
APP-101290,CAND-1175408,Sales,Account Executive,Senior,LinkedIn,LATAM,Bachelor's,Male,D. Boateng,2025-02-18,7.9,False,,0,False,False,False,Applied,Rejected at Screening,,150.0
APP-101678,CAND-985097,Sales,Sales Development Rep,Mid,University/Campus,APAC,Master's,Male,C. Adjei,2024-10-26,1.9,True,34.1,0,False,False,False,Screened,Failed Assessment,,1327.49
APP-101417,CAND-867451,Sales,Account Executive,Senior,Job Board,LATAM,Master's,Male,D. Boateng,2025-01-12,6.8,True,67.4,0,False,False,False,Assessment,Rejected at Assessment,,2754.29
APP-100644,CAND-823419,Engineering,Senior Software Engineer,Junior,LinkedIn,North America,Bachelor's,Female,E. Sarpong,2024-06-29,3.5,True,74.6,0,False,False,False,Assessment,Rejected at Assessment,,3552.52
APP-100156,CAND-501400,Sales,Solutions Consultant,Lead,LinkedIn,EMEA,Master's,Male,A. Mensah,2024-07-06,6.3,True,77.0,3,True,True,True,Hired,,68.0,2195.95
APP-100828,CAND-291558,Engineering,QA Engineer,Junior,Employee Referral,EMEA,Bachelor's,Male,F. Antwi,2024-03-27,3.4,True,82.4,3,False,False,False,Interview,Rejected at Interview,,1423.88
APP-101543,CAND-1056020,Sales,Sales Development Rep,Mid,Job Board,EMEA,Bachelor's,Female,B. Owusu,2025-10-19,8.2,True,49.0,0,False,False,False,Screened,Failed Assessment,,1973.98
APP-100541,CAND-983529,Sales,Sales Development Rep,Senior,Employee Referral,North America,Bachelor's,Male,E. Sarpong,2025-05-30,8.9,True,78.4,3,False,False,False,Interview,Rejected at Interview,,536.94
APP-100143,CAND-781726,Engineering,Engineering Manager,Junior,Job Board,North America,Diploma,Female,B. Owusu,2025-09-10,1.1,True,47.5,0,False,False,False,Screened,Failed Assessment,,3858.07
APP-101287,CAND-382485,Engineering,DevOps Engineer,Lead,Company Website,North America,Unknown,Female,F. Antwi,2024-11-25,13.2,True,79.6,0,False,False,False,Assessment,Rejected at Assessment,,150.0
APP-100712,CAND-317383,Data & Analytics,Analytics Engineer,Lead,University/Campus,APAC,Bachelor's,Undisclosed,D. Boateng,2025-09-13,13.0,True,74.5,0,False,False,False,Assessment,Rejected at Assessment,,2709.95
APP-100938,CAND-856213,Sales,Account Executive,Senior,Job Board,EMEA,Bachelor's,Male,D. Boateng,2024-02-16,7.7,True,66.4,1,False,False,False,Interview,Rejected at Interview,,2047.22
APP-100163,CAND-1169770,Sales,Solutions Consultant,Mid,Company Website,North America,Bachelor's,Male,A. Mensah,2024-04-11,9.4,True,70.5,3,False,False,False,Interview,Rejected at Interview,,491.85
APP-101333,CAND-207409,Engineering,Software Engineer,Junior,LinkedIn,Unknown,Master's,Male,B. Owusu,2025-10-29,0.0,False,,0,False,False,False,Applied,Rejected at Screening,,5774.26
APP-101039,CAND-729431,Marketing,Content Strategist,Lead,Job Board,EMEA,Master's,Male,A. Mensah,2025-04-07,15.8,True,53.9,0,False,False,False,Screened,Failed Assessment,,2084.07
APP-100959,CAND-1055662,Customer Success,Support Specialist,Senior,Employee Referral,EMEA,Bachelor's,Male,E. Sarpong,2024-10-11,8.1,False,,0,False,False,False,Applied,Rejected at Screening,,765.85
APP-101237,CAND-611281,Engineering,DevOps Engineer,Mid,LinkedIn,EMEA,Bachelor's,Male,D. Boateng,2024-06-18,3.7,False,,0,False,False,False,Applied,Rejected at Screening,,4513.61
APP-100391,CAND-481951,Engineering,Software Engineer,Senior,Company Website,North America,Bachelor's,Female,D. Boateng,2024-10-27,13.4,False,,0,False,False,False,Applied,Rejected at Screening,,596.33
APP-100667,CAND-394428,Customer Success,Support Specialist,Junior,Job Board,North America,Unknown,Male,A. Mensah,2024-08-20,4.9,False,,0,False,False,False,Applied,Rejected at Screening,,1091.28
APP-101205,CAND-282274,Sales,Solutions Consultant,Lead,Job Board,APAC,Master's,Undisclosed,F. Antwi,2024-10-07,6.6,True,43.3,0,False,False,False,Screened,Failed Assessment,,2220.95
APP-101381,CAND-669998,Sales,Account Executive,Mid,LinkedIn,APAC,Master's,Male,C. Adjei,2024-10-28,4.1,False,,0,False,False,False,Applied,Rejected at Screening,,2838.72
APP-101476,CAND-536158,People & Culture,HR Business Partner,Junior,LinkedIn,EMEA,Bachelor's,Male,E. Sarpong,2024-01-16,0.0,False,,0,False,False,False,Applied,Rejected at Screening,,2377.92
APP-100014,CAND-1074561,People & Culture,People Ops Specialist,Junior,Recruitment Agency,North America,Diploma,Male,B. Owusu,2025-04-27,4.6,False,,0,False,False,False,Applied,Rejected at Screening,,4844.42
APP-101580,CAND-1041902,Engineering,Engineering Manager,Senior,Employee Referral,North America,Bachelor's,Female,B. Owusu,2025-07-20,7.3,True,77.3,1,True,True,True,Hired,,42.0,1215.73
APP-101419,CAND-528869,Data & Analytics,Data Scientist,Mid,Recruitment Agency,APAC,Bachelor's,Undisclosed,C. Adjei,2024-07-22,1.2,True,56.8,0,False,False,False,Screened,Failed Assessment,,10908.72
APP-101014,CAND-621344,Engineering,QA Engineer,Mid,LinkedIn,EMEA,Master's,Male,B. Owusu,2025-10-26,0.9,True,63.0,1,True,True,True,Hired,,45.0,5589.73
APP-101540,CAND-751571,Engineering,DevOps Engineer,Junior,Job Board,North America,Bachelor's,Male,E. Sarpong,2025-02-09,2.6,True,49.8,0,False,False,False,Screened,Failed Assessment,,3677.01
APP-100685,CAND-454027,Sales,Sales Manager,Lead,LinkedIn,EMEA,Bachelor's,Male,F. Antwi,2024-03-11,15.2,False,,0,False,False,False,Applied,Rejected at Screening,,2792.56
APP-101177,CAND-917886,Engineering,Senior Software Engineer,Mid,Company Website,North America,Master's,Female,D. Boateng,2024-01-02,3.4,False,,0,False,False,False,Applied,Rejected at Screening,,766.9
APP-100112,CAND-217323,People & Culture,People Ops Specialist,Junior,Company Website,EMEA,Bachelor's,Male,B. Owusu,2024-07-04,0.0,True,75.6,3,True,True,True,Hired,,48.0,699.09
APP-101194,CAND-886544,People & Culture,People Ops Specialist,Junior,LinkedIn,North America,Master's,Male,E. Sarpong,2024-03-09,3.7,False,,0,False,False,False,Applied,Rejected at Screening,,2901.89
APP-101343,CAND-685737,Engineering,DevOps Engineer,Mid,LinkedIn,North America,High School,Female,B. Owusu,2025-10-09,1.8,True,65.1,3,True,True,True,Hired,,40.0,5143.84
APP-100858,CAND-341457,Engineering,Engineering Manager,Mid,Job Board,EMEA,Bachelor's,Female,F. Antwi,2025-06-03,2.0,False,,0,False,False,False,Applied,Rejected at Screening,,1864.4
APP-101586,CAND-359298,People & Culture,Recruiter,Mid,Employee Referral,EMEA,Unknown,Undisclosed,B. Owusu,2025-03-18,5.8,True,69.0,1,False,False,False,Interview,Rejected at Interview,,1016.45
APP-101541,CAND-213961,Customer Success,Support Specialist,Mid,Employee Referral,North America,Diploma,Female,F. Antwi,2024-08-02,5.7,True,91.8,3,True,False,False,Offer,Offer Declined,,437.01
APP-101745,CAND-348072,Marketing,Growth Marketer,Senior,Employee Referral,LATAM,PhD,Female,A. Mensah,2024-11-30,9.1,False,,0,False,False,False,Applied,Rejected at Screening,,742.93
APP-100923,CAND-355592,Engineering,DevOps Engineer,Mid,Employee Referral,Unknown,Bachelor's,Male,F. Antwi,2024-06-14,4.7,True,69.8,3,False,False,False,Interview,Rejected at Interview,,1333.09
APP-100211,CAND-553192,Engineering,QA Engineer,Lead,University/Campus,EMEA,Bachelor's,Female,E. Sarpong,2025-06-28,8.0,True,80.3,0,False,False,False,Assessment,Rejected at Assessment,,2934.44
APP-100780,CAND-973689,People & Culture,Recruiter,Mid,LinkedIn,North America,Master's,Male,D. Boateng,2024-10-03,6.3,True,55.3,0,False,False,False,Screened,Failed Assessment,,2815.37
APP-100282,CAND-300424,People & Culture,People Ops Specialist,Junior,Company Website,LATAM,PhD,Female,F. Antwi,2024-08-21,0.0,True,56.3,0,False,False,False,Screened,Failed Assessment,,398.57
